country,domain,category,company_size,email_provider,confidence,other_industry_category,website,website_status
Australia,firepulseai.com,Technology and Software Development,Unknown,No,85,N/A,little_info,reachable
United States,wilmingtonaquaticclub.com,Other,20 to 50,No,85,Sports and Recreation,unreachable,unreachable
Israel,toolswiss.com,E-commerce and Retail,20 to 50,No,95,N/A,much_info,reachable
United States,4sqinternational.com,Professional Services,1 to 5,Yes,85,N/A,unreachable,unreachable
Netherlands,risottini.com,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable
India,hetcash.com,Financial Service,1 to 5,No,75,N/A,unreachable,unreachable
Hong Kong,hollo.hk,Technology and Software Development,Unknown,No,95,N/A,much_info,reachable
United States,emergemarket.com,Technology and Software Development,200 to 500,No,95,N/A,much_info,reachable
India,functionatics.com,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable
United States,iv.ai,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable
India,nakad.co,Technology and Software Development,Unknown,No,90,N/A,much_info,reachable
India,vlifesolutions.co.uk,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable
India,agentic.it,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable
United States,ge-ed.co,Logistics and Transportation,5 to 20,No,95,N/A,much_info,reachable
United States,smartnutritionfitclub.com,Healthcare,1 to 5,No,95,N/A,much_info,reachable
Turkey,betrobot.ai,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable
India,justtrademarkets.com,Financial Service,20 to 50,No,95,N/A,much_info,reachable
