domain,country,category,company_size,email_provider,confidence,other_industry_category,website,website_status,website_reason
forwardlegalfunding.com,United States,Financial Service,1 to 5,No,95,N/A,much_info,reachable,200
gigiapp.io,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
goodgasgrills.com,Australia,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
klgroup.io,Uganda,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
limeconsultancy.net,United Kingdom,Financial Service,1 to 5,No,95,N/A,much_info,reachable,200
mapex.io,Spain,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
rentexpand.com,Netherlands,Other,solo,No,80,Web Development Issues,no_info,reachable,200
timewiselabs.io,United Kingdom,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
webliteseo.com,United States,Marketing and Advertising,20 to 50,No,95,N/A,much_info,reachable,200
webhouseusa.com,Pakistan,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
proaid.co.nz,New Zealand,Professional Services,1 to 5,No,70,N/A,unreachable,unreachable,Timeout
leinsterenergy.ie,Ireland,Professional Services,1 to 5,No,95,Electrical Services / Renewable Energy Installation,much_info,reachable,200
4tier.com,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
onyxbuilding.com,United States,Professional Services,50 to 100,No,95,Construction,much_info,reachable,200
streamlinedlogisticsservices.com,Serbia,Logistics and Transportation,5 to 20,No,95,N/A,much_info,reachable,200
lexoro.co.uk,Morocco,Professional Services,1 to 5,No,95,N/A,unreachable,unreachable,402
webee.co.in,India,Technology and Software Development,1 to 5,No,65,N/A,little_info,reachable,200
unitedpetcrematorium.au,Australia,Healthcare,1 to 5,No,60,N/A,unreachable,unreachable,Connection Error
heriots.co.uk,United Kingdom,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
beyondschool.nl,Netherlands,Education and e-learning,5 to 20,No,95,N/A,much_info,reachable,200
canadamentors.com,Canada,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
tablewaiterr.com,Australia,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
sanash.co.in,India,Technology and Software Development,50 to 100,No,30,N/A,unreachable,unreachable,500
cogentpropertyinvestments.com.au,Australia,Real Estate and Property Management,solo,No,95,N/A,much_info,reachable,200
tribetats.com,United States,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
live.com,Thailand,Technology and Software Development,500+,Yes,100,N/A,much_info,reachable,200
pandroutsourcing.com,Australia,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
fosakringskassan.com,Sweden,Financial Service,500+,No,95,N/A,unreachable,unreachable,Connection Error
gowithdennis.com,United States,Professional Services,solo,No,75,N/A,little_info,reachable,200
kapx.co,Philippines,Marketing and Advertising,20 to 50,No,95,N/A,much_info,reachable,200
rennock.com,United States,Other,solo,No,95,Art and Design,much_info,reachable,200
mialis.de,Czech Republic,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
synergetic.group,Netherlands,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
aismpls.org,United States,Other,1 to 5,No,80,Non-profit,little_info,reachable,200
propertyfi.ai,Taiwan,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
ochago.net,Kenya,Technology and Software Development,solo,No,55,N/A,little_info,reachable,200
thewebshop.co.za,South Africa,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
getontop.com,Mexico,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
biblica.com,South Africa,Other,500+,No,95,Non-profit,unreachable,unreachable,403
ccliquor.com.au,2,E-commerce and Retail,20 to 50,No,100,N/A,unreachable,unreachable,Timeout
contxts.io,"Korea, Republic Of",Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
dataprime.hk,Serbia,Technology and Software Development,1 to 5,No,50,N/A,little_info,reachable,200
mjolnircode.org,Australia,Technology and Software Development,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
teleswap.io,United States,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
scoutedgerpo.com,India,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
aaausacoinc.com,United States,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
ten17collection.com,Puerto Rico,E-commerce and Retail,solo,No,60,N/A,little_info,reachable,200
eldsusa.com,United States,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
fund-raise.au,Philippines,Financial Service,1 to 5,No,60,N/A,little_info,reachable,200
djvsoft.com,United States,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
tryclair.com,India,E-commerce and Retail,1 to 5,No,75,N/A,little_info,reachable,200
darwix.ai,India,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
hurrenent.com,New Zealand,Other,solo,No,40,Under Construction,little_info,reachable,200
selltechsolutions.online,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
iris-power.com,United States,Professional Services,5 to 20,No,95,Renewable Energy Services,much_info,reachable,200
suburbancowboys.com,Philippines,Real Estate and Property Management,5 to 20,No,95,N/A,much_info,reachable,200
servicesactivatrademarketing.co.uk,United Kingdom,Marketing and Advertising,20 to 50,No,95,N/A,much_info,reachable,200
jmarketing.agency,Brazil,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
psicologiaymente.com,Chile,Education and e-learning,20 to 50,No,95,N/A,much_info,reachable,200
salazarcr.com,Costa Rica,Professional Services,1 to 5,No,40,N/A,unreachable,unreachable,Connection Error
frutabombainc.com,United States,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
trevalocreatives.site,India,Marketing and Advertising,1 to 5,No,40,N/A,unreachable,unreachable,409
mgmtdm.com,Ireland,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
eleventhlanders.com,Indonesia,Other,solo,No,0,N/A,unreachable,unreachable,Connection Error
aussiestudiespathway.com,India,Education and e-learning,1 to 5,No,95,N/A,much_info,reachable,200
axelsl.com,Sri Lanka,Manufacturing and Industrial,20 to 50,No,95,N/A,much_info,reachable,200
meedrecruitment.com,Turkey,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
richardtheodorecharlesassociates.com,Kuwait,Professional Services,solo,No,10,N/A,unreachable,unreachable,404
secluded-villas.com,Indonesia,Real Estate and Property Management,1 to 5,No,95,N/A,much_info,reachable,200
essencetransportation.ca,Canada,Logistics and Transportation,20 to 50,No,95,N/A,much_info,reachable,200
truevisionglobal.net,India,Logistics and Transportation,1 to 5,No,65,N/A,little_info,reachable,200
thenorthtrans.com,Canada,Logistics and Transportation,50 to 100,No,95,N/A,much_info,reachable,200
alpassoftware.com,South Africa,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
mstransport.fr,,Logistics and Transportation,1 to 5,No,50,N/A,no_info,reachable,200
x.com,United States,Technology and Software Development,500+,No,60,N/A,little_info,reachable,200
atlas.cz,Czech Republic,Other,50 to 100,No,95,News and Media Portal,much_info,reachable,200
stoneview.co,Hong Kong,Real Estate and Property Management,1 to 5,No,95,N/A,much_info,reachable,200
bryanphama.com,Canada,Professional Services,solo,No,70,N/A,unreachable,unreachable,Connection Error
americanexpats.pt,United States,Professional Services,solo,No,55,N/A,little_info,reachable,200
mccombiegroup.com,United States,Financial Service,5 to 20,No,95,N/A,much_info,reachable,200
theplanetgroup.com,Belgium,Professional Services,500+,No,95,N/A,much_info,reachable,200
sykonproperties.com,United Arab Emirates,Real Estate and Property Management,5 to 20,No,95,N/A,much_info,reachable,200
zuga.dad,United States,Technology and Software Development,solo,No,95,N/A,unreachable,unreachable,Connection Error
wyomingchemical.com,India,Manufacturing and Industrial,20 to 50,No,95,N/A,much_info,reachable,200
meghajain.com.au,Australia,Professional Services,solo,No,95,N/A,much_info,reachable,200
punkproof.com,United States,Technology and Software Development,1 to 5,Yes,95,N/A,much_info,reachable,200
dominiquefournier.com,Canada,Professional Services,solo,No,100,N/A,much_info,reachable,200
infiniumholdings.com,United Kingdom,Financial Service,1 to 5,No,60,N/A,little_info,reachable,200
webdy.lt,Lithuania,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
bluehiresolutions.com,United States,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
datafit-solutions.com,France,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
xenatrev.com,Austria,Other,solo,No,100,Under Construction/Placeholder,no_info,reachable,200
appcolo.com,United States,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
theleadmachine.com.au,Australia,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
preciousspring.com,Philippines,Other,solo,No,20,N/A,unreachable,unreachable,404
annexasia.com,Ecuador,Manufacturing and Industrial,5 to 20,No,95,N/A,much_info,reachable,200
hookwriters.com,United States,Professional Services,20 to 50,No,30,N/A,unreachable,unreachable,Timeout
accountingfarm.com,Canada,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
paragonpotion.com,Japan,Other,solo,No,50,N/A,unreachable,unreachable,404
fijiswaterfoundation.com,United States,Other,50 to 100,No,95,Non-profit,much_info,reachable,200
email.arizona.edu,United States,Education and e-learning,500+,No,95,N/A,unreachable,unreachable,Connection Error
liberationu.org,United States,Education and e-learning,5 to 20,No,95,N/A,much_info,reachable,200
dissanayake.me,Sri Lanka,Technology and Software Development,solo,No,10,N/A,unreachable,unreachable,Connection Error
revamply.io,United States,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
webfluence.digital,Rwanda,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
hausofleads.com,United States,Marketing and Advertising,1 to 5,No,75,N/A,unreachable,unreachable,Connection Error
clickracedigital.com,United States,Marketing and Advertising,1 to 5,No,75,N/A,unreachable,unreachable,500
welchsanders.com,United States,Professional Services,5 to 20,No,95,Accounting and Tax Services,much_info,reachable,200
ecommastery.nl,United Arab Emirates,Education and e-learning,1 to 5,No,95,N/A,much_info,reachable,200
sgraynerhomes.com,United States,Real Estate and Property Management,5 to 20,No,95,N/A,much_info,reachable,200
brickfort.co.uk,United Kingdom,Real Estate and Property Management,1 to 5,No,65,N/A,little_info,reachable,200
dataprime.co.za,South Africa,Technology and Software Development,1 to 5,No,40,N/A,unreachable,unreachable,Connection Error
tradecoglobal.com,Pakistan,Other,1 to 5,No,75,N/A,no_info,reachable,200
goodseeker.com,United States,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
hansonbiomass.eu,Nigeria,Other,solo,No,95,Domain Parking Service,no_info,reachable,200
fos.sg,Greece,Technology and Software Development,5 to 20,No,70,N/A,unreachable,unreachable,Connection Error
oratox.com,United States,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
tukelinc.com,United States,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
weprofit.ai,Sweden,Technology and Software Development,20 to 50,No,60,N/A,unreachable,unreachable,402
bryanjabalera.com,United States,Professional Services,solo,No,60,N/A,unreachable,unreachable,Connection Error
freethinkfriday.com,United States,Technology and Software Development,solo,No,95,N/A,much_info,reachable,200
haynow.com,United States,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
thelocalaisquad.com,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
visbloom.com,United States,Technology and Software Development,1 to 5,No,75,N/A,little_info,reachable,200
shreemelectric.com,India,Manufacturing and Industrial,500+,No,95,N/A,much_info,reachable,200
ge-ed.co,United States,Logistics and Transportation,5 to 20,No,95,N/A,much_info,reachable,200
admanagement.info,France,Marketing and Advertising,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
homemagnetmedia.com,Turkey,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
beautiful-sparks.com,Australia,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
villamonticello.com,Switzerland,Other,5 to 20,No,95,Hospitality and Accommodation,much_info,reachable,200
devinney.com,United States,Professional Services,solo,No,95,N/A,much_info,reachable,200
pixerylabs.com,Turkey,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
risingrainbow.com,Israel,Other,1 to 5,No,95,Non-profit / Charitable Organization,much_info,reachable,200
eustace.co.uk,United Kingdom,Other,solo,No,50,Consulting,little_info,reachable,200
ocedon.com,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
b2smedia.com,Norway,Marketing and Advertising,20 to 50,No,75,N/A,unreachable,unreachable,404
growyourads.com,United Arab Emirates,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
eqsolutionsllc.com,United States,Professional Services,1 to 5,No,70,N/A,unreachable,unreachable,Connection Error
elitemicom.com,India,Other,solo,No,95,N/A,no_info,reachable,200
ejhodges.com,United States,Professional Services,solo,No,60,N/A,little_info,reachable,200
mid49.com,United States,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
parent-help.co.uk,United Kingdom,Professional Services,1 to 5,No,95,Social Work and Family Support Services,much_info,reachable,200
everal.info,Philippines,Other,solo,No,50,N/A,little_info,reachable,200
hanstra.com,Philippines,Financial Service,1 to 5,No,95,N/A,much_info,reachable,200
ventra.com.sg,Philippines,Professional Services,50 to 100,No,75,N/A,unreachable,unreachable,403
easygreensolutionsllc.com,United States,Professional Services,1 to 5,No,75,N/A,little_info,reachable,200
agendagroup.net,Australia,Professional Services,20 to 50,No,30,N/A,unreachable,unreachable,403
broadsideofsydney.com,Thailand,Other,1 to 5,No,30,N/A,unreachable,unreachable,404
puree.app,New Zealand,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
airview.dk,Denmark,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
andyou.ph,Philippines,Healthcare,1 to 5,No,95,N/A,much_info,reachable,200
regla.io,Denmark,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
cryptobotaccelerator.com,United States,Financial Service,1 to 5,No,95,N/A,much_info,reachable,200
bmco.com.au,Australia,Manufacturing and Industrial,5 to 20,No,95,N/A,much_info,reachable,200
nextmodelsmanagement.co.uk,United Kingdom,Professional Services,20 to 50,No,75,N/A,unreachable,unreachable,Connection Error
eandedigital.com,Turkey,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
makula.io,Germany,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
coalshedbristol.com,United Kingdom,Real Estate and Property Management,solo,No,95,N/A,much_info,reachable,200
tbwhnet.com,United States,Other,solo,No,60,Under Construction / Placeholder,little_info,reachable,200
bbc.co.uk,United States,Other,500+,No,100,Broadcasting and Media,much_info,reachable,200
sabanciuniv.edu,Turkey,Education and e-learning,500+,No,95,N/A,much_info,reachable,200
dmdskinsciences.com,Philippines,Healthcare,solo,No,95,N/A,much_info,reachable,200
aol.com,United States,Technology and Software Development,500+,Yes,95,N/A,much_info,reachable,200
unver.nl,Netherlands,Other,solo,No,100,Domain Parking,no_info,reachable,200
enochstudios.com,United States,Other,1 to 5,No,100,Entertainment,unreachable,unreachable,409
scribeeaserx.com,India,Professional Services,solo,No,40,N/A,unreachable,unreachable,Connection Error
rajdrinks.com,United Kingdom,Other,solo,No,50,Beverage,little_info,reachable,200
simbaconstructions.it.com,United Kingdom,Professional Services,5 to 20,No,75,Construction,unreachable,unreachable,443
originmattress.com.au,Singapore,E-commerce and Retail,50 to 100,No,95,N/A,much_info,reachable,200
mysmb.com,Philippines,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
thehighlightgroup.com,United States,Professional Services,5 to 20,No,45,N/A,unreachable,unreachable,403
figh.io,Chile,Technology and Software Development,50 to 100,No,50,N/A,unreachable,unreachable,404
creationderealite.com,Canada,Education and e-learning,solo,No,95,N/A,much_info,reachable,200
otechnica.co.uk,Turkey,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
hygenix.ie,Egypt,Manufacturing and Industrial,5 to 20,No,95,N/A,much_info,reachable,200
oneconnectconsulting.com,United States,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
commercialrealestatesales.ca,Canada,Real Estate and Property Management,solo,No,95,N/A,unreachable,unreachable,404
xmsg.app,United States,Professional Services,solo,No,65,N/A,little_info,reachable,200
ericcardenaslaw.com,United States,Professional Services,solo,No,95,Legal Services,much_info,reachable,200
hopae.com,"Korea, Republic Of",Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
petersonacquisitions.com,United States,Professional Services,solo,No,95,Business Brokerage,much_info,reachable,200
youralibimx.com,United States,Other,1 to 5,No,95,Restaurant and Bar,much_info,reachable,200
novo42.com,South Africa,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
outlook.com,United States,Technology and Software Development,500+,Yes,100,N/A,much_info,reachable,200
rejuvafresh.com,United States,Manufacturing and Industrial,50 to 100,No,95,N/A,much_info,reachable,200
chromaway.com,Sweden,Technology and Software Development,200 to 500,No,95,N/A,much_info,reachable,200
bimexico.com,Mexico,Professional Services,20 to 50,No,95,N/A,much_info,reachable,200
jabbroslawgroup.com,United States,Professional Services,1 to 5,No,95,Legal Services,unreachable,unreachable,Connection Error
noorvo.co,Trinidad And Tobago,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
zohomail.com,australia,Technology and Software Development,500+,Yes,100,N/A,much_info,reachable,200
pointcube.com,New Zealand,Technology and Software Development,1 to 5,No,70,N/A,unreachable,unreachable,404
tuta.io,United States,Technology and Software Development,50 to 100,Yes,95,N/A,much_info,reachable,200
capflowagency.com,United States,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
abotads.com,Bangladesh,Marketing and Advertising,1 to 5,No,50,N/A,little_info,reachable,200
trychamp.co,Canada,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
creatorgrow.org,Uganda,Other,1 to 5,No,50,Non-profit,unreachable,unreachable,SSL Error
attotime.com,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
mail.de,Germany,Technology and Software Development,50 to 100,Yes,95,N/A,much_info,reachable,200
marketsvox.com,United Kingdom,Financial Service,50 to 100,No,95,N/A,much_info,reachable,200
haddonproperty.com,United States,Real Estate and Property Management,1 to 5,No,95,N/A,much_info,reachable,200
helloventures.xyz,Estonia,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
evasippel.com,Japan,Other,solo,No,95,Entertainment and Media,much_info,reachable,200
longevityinvestors.ch,Croatia,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
cegal.com,Norway,Technology and Software Development,200 to 500,No,95,N/A,much_info,reachable,200
aboutubeauty.com.au,Australia,Professional Services,solo,No,95,Beauty and Wellness,much_info,reachable,200
goflow.co.site,United States,Technology and Software Development,1 to 5,No,50,N/A,unreachable,unreachable,404
orugaagii.com,Mexico,Other,solo,No,10,N/A,unreachable,unreachable,404
dvinetours.com.au,Australia,Other,5 to 20,No,95,Travel Agency,much_info,reachable,200
posteo.de,Switzerland,Technology and Software Development,20 to 50,Yes,95,N/A,much_info,reachable,200
emiratosventas.com,Spain,E-commerce and Retail,1 to 5,No,50,N/A,unreachable,unreachable,403
fabroteks.com,Turkey,Manufacturing and Industrial,20 to 50,No,95,N/A,much_info,reachable,200
tapp.cl,United States,Financial Service,50 to 100,No,95,N/A,much_info,reachable,200
eylulozturk.com,United States,Marketing and Advertising,solo,No,95,N/A,much_info,reachable,200
coquicleaners.com,Puerto Rico,Technology and Software Development,solo,No,95,N/A,much_info,reachable,200
posteo.net,Czech Republic,Technology and Software Development,5 to 20,Yes,95,N/A,much_info,reachable,200
ezramichelmusic.com,United States,Other,solo,No,50,Entertainment,unreachable,unreachable,401
einzelthecnology.com,Morocco,E-commerce and Retail,solo,No,95,N/A,much_info,reachable,200
infinitepeak.de,Germany,Technology and Software Development,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
free2move.com,Germany,Logistics and Transportation,500+,No,95,N/A,much_info,reachable,200
netterchef.de,Germany,Technology and Software Development,solo,No,50,N/A,no_info,reachable,200
meyerfoto.ch,Switzerland,Professional Services,solo,No,95,N/A,much_info,reachable,200
fame-bros.com,Hong Kong,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
contrailrisks.com,Ireland,Professional Services,1 to 5,No,70,N/A,unreachable,unreachable,500
globy-solutions.tech,Argentina,Technology and Software Development,solo,No,65,N/A,little_info,reachable,200
omnison.app,South Africa,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
awfvs.com,Pakistan,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
quartzbyte.com,United Kingdom,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
allyedusupport.co.uk,India,Education and e-learning,1 to 5,No,95,N/A,much_info,reachable,200
logicware.tech,Pakistan,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
dipalmas.co.za,Australia,Professional Services,1 to 5,No,95,Legal Services,much_info,reachable,200
rizwi.co,United States,Professional Services,solo,No,70,N/A,unreachable,unreachable,404
fayax.net,Maldives,Technology and Software Development,solo,No,95,N/A,much_info,reachable,200
restoexp.com,United States,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
appatio.com,Poland,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
hm-training.net,Malta,Education and e-learning,solo,No,10,N/A,unreachable,unreachable,Connection Error
radiantscience.io,Germany,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
yilianlx.com,China,Other,5 to 20,No,75,Language Services,unreachable,unreachable,Timeout
rederagroup.com,United States,Professional Services,solo,No,50,N/A,little_info,reachable,200
hyperlane.xyz,United States,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
cr8.com,France,Technology and Software Development,1 to 5,No,60,N/A,little_info,reachable,200
telesaleshub.com,United States,Professional Services,1 to 5,No,95,N/A,no_info,reachable,200
fjdynamics.com,China,Manufacturing and Industrial,200 to 500,No,95,N/A,much_info,reachable,200
digitizeeagency.com,India,Marketing and Advertising,1 to 5,No,60,N/A,little_info,reachable,200
klasaltd.com,United States,Technology and Software Development,solo,No,70,N/A,no_info,reachable,200
lexzur.com,Lebanon,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
matthiasfiedler.net,Germany,Real Estate and Property Management,20 to 50,No,95,N/A,much_info,reachable,200
montrex.co,Switzerland,Financial Service,5 to 20,No,95,N/A,much_info,reachable,200
nomadinternet.com,United States,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
nogarnishmarketing.com,South Africa,Marketing and Advertising,1 to 5,No,75,N/A,little_info,reachable,200
zedbpo.com,United States,Professional Services,100 to 200,No,50,N/A,unreachable,unreachable,403
ebda.io,Netherlands,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
leetdesk.com,Germany,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
jcom.zaq.ne.jp,United States,Technology and Software Development,500+,No,80,N/A,unreachable,unreachable,Connection Error
epccommodities.com,Netherlands,Other,1 to 5,No,60,Commodities Trading,little_info,reachable,200
dropeso.com,United States,Technology and Software Development,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
fongue.shop,,E-commerce and Retail,1 to 5,No,80,N/A,unreachable,unreachable,403
athotel.com,Egypt,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
clinovia.org,Pakistan,Healthcare,5 to 20,No,95,N/A,much_info,reachable,200
mobiusventures.io,United States,Technology and Software Development,20 to 50,No,95,N/A,unreachable,unreachable,Connection Error
invaro.ai,India,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
aretamanagementllc.com,United States,Professional Services,1 to 5,No,55,N/A,unreachable,unreachable,404
chakong.com,Mexico,Manufacturing and Industrial,50 to 100,No,95,N/A,much_info,reachable,200
prodevisconnect.xyz,France,Professional Services,1 to 5,No,75,N/A,unreachable,unreachable,Connection Error
victorycapitalfund.com,United States,Financial Service,20 to 50,No,95,N/A,much_info,reachable,200
cybergl.com,United States,Professional Services,20 to 50,No,95,N/A,much_info,reachable,200
fdpdcsllc.com,United States,Professional Services,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
frankcalls.com,United Kingdom,Other,solo,No,95,Domain Parking,no_info,reachable,200
gurumedia.com,United States,Marketing and Advertising,50 to 100,No,95,N/A,much_info,reachable,200
frankliner.com,Nigeria,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
fxcentrum.com,Slovakia,Financial Service,50 to 100,No,95,N/A,much_info,reachable,200
pcbrosltd.co.uk,United Kingdom,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
lxpskills.co.uk,United Kingdom,Education and e-learning,5 to 20,No,95,N/A,much_info,reachable,200
smartbours.com,Canada,Education and e-learning,1 to 5,No,95,N/A,much_info,reachable,200
saltalk.com,United States,Technology and Software Development,1 to 5,No,75,N/A,little_info,reachable,200
ste-picard.fr,France,Professional Services,1 to 5,No,45,N/A,unreachable,unreachable,SSL Error
skriba.ch,Switzerland,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
ucr.edu,United States,Education and e-learning,500+,No,100,N/A,much_info,reachable,200
solace.com,United States,Technology and Software Development,500+,No,95,N/A,much_info,reachable,200
galyfeng.com,,Technology and Software Development,solo,No,40,N/A,no_info,reachable,200
mycountrymobile.com,India,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
hargna.com,Dominican Republic,Other,solo,No,50,N/A,little_info,reachable,200
bright-light.ch,Switzerland,Professional Services,1 to 5,No,60,N/A,unreachable,unreachable,409
brothersworthen.com,United States,Other,solo,No,50,N/A,little_info,reachable,200
mai.lc,Georgia,Technology and Software Development,1 to 5,No,40,N/A,unreachable,unreachable,Timeout
bradly.co.nz,New Zealand,Marketing and Advertising,solo,No,95,N/A,much_info,reachable,200
inspiredxi.com,United States,Professional Services,1 to 5,No,95,Sports Agency,much_info,reachable,200
jfrocket.com,Brazil,Education and e-learning,solo,No,95,N/A,much_info,reachable,200
sentellent.com,Ecuador,Technology and Software Development,20 to 50,No,75,N/A,little_info,reachable,200
waizmedia.net,United States,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
medialaunchuk.com,,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
succeedsmarter.co,United States,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
lsports.eu,Israel,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
pendragon.com,United States,Other,solo,No,95,Placeholder/Coming Soon,no_info,reachable,200
gantuning.de,Germany,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
pdacomposites.co.uk,United Kingdom,Manufacturing and Industrial,5 to 20,No,75,N/A,unreachable,unreachable,404
starlingelevate.com,India,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
themccorp.com,Thailand,Financial Service,5 to 20,No,95,N/A,much_info,reachable,200
br-dge.to,United Kingdom,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
loopdl.co.uk,South Africa,Technology and Software Development,1 to 5,No,60,N/A,little_info,reachable,200
naldrett.com,UK,Other,solo,No,75,Personal Website/Portfolio,little_info,reachable,200
britsystem.com,United Kingdom,Technology and Software Development,1 to 5,No,10,N/A,no_info,reachable,200
emeraldeliterealty.com,United States,Real Estate and Property Management,solo,No,80,N/A,little_info,reachable,200
homewatchit.com,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
lincoln-hope.com,"Tanzania, United Republic Of",Healthcare,1 to 5,No,95,N/A,unreachable,unreachable,Connection Error
pbcx.co.za,Spain,Other,solo,No,100,Web Hosting Placeholder,no_info,reachable,200
shifton.com,United States,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
betmaster.com,Estonia,Other,50 to 100,No,95,Online Gambling and Sports Betting,much_info,reachable,200
